run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-09-01 20:11,BAB,Industrials,75,1036.98,1067.24,1006.72,1061.9,1103.98,5,friday_close,6.46,60.7,18.5
2025-09-01 20:11,TSCO,ConsStaples,75,430.95,437.73,424.18,435.54,439.95,5,friday_close,2.09,60.7,18.5
2025-09-01 20:11,SRE,RealEstate,75,101.47,103.94,99.0,103.42,97.52,5,friday_close,-3.89,60.7,18.5
2025-09-08 20:11,BLND,RealEstate,90,338.1,344.89,331.31,343.17,338.5,5,friday_close,0.12,63.8,21.3
2025-09-08 20:11,CMCX,FinServices,90,222.96,233.24,212.68,232.07,222.96,5,friday_close,0.0,63.8,21.3
2025-09-08 20:11,ABF,ConsStaples,85,2236.56,2277.52,2195.59,2266.13,1961.11,5,friday_close,-12.32,62.8,19.7
2025-09-08 20:11,ELM,Chemicals,85,164.6,168.56,160.64,167.72,163.4,5,friday_close,-0.73,62.8,19.7
2025-09-08 20:11,BCG,Tech,80,330.46,342.15,318.77,340.44,324.48,5,friday_close,-1.81,61.7,18.0
2025-09-15 20:11,CTY,FinServices,95,500.9,506.12,495.68,503.59,498.4,5,friday_close,-0.5,64.9,21.2
2025-09-15 20:11,FSG,Banking,95,470.24,482.31,458.18,479.9,466.41,5,friday_close,-0.81,64.9,21.2
2025-09-15 20:11,SSE,Energy,90,1672.34,1702.52,1642.16,1694.01,1697.84,5,friday_close,1.52,63.8,19.7
2025-09-15 20:11,KIE,Materials,90,191.96,197.91,186.0,196.92,211.95,5,friday_close,10.42,63.8,19.7
2025-09-15 20:11,UU,Utilities,85,1153.83,1173.27,1134.39,1167.4,1131.83,5,friday_close,-1.91,62.8,18.2
2025-09-22 20:11,ASHM,FinServices,90,169.06,175.35,162.76,174.47,175.45,5,friday_close,3.78,63.8,22.0
2025-09-22 20:11,GSK,Pharma,85,1510.75,1541.22,1480.28,1533.51,1517.75,5,friday_close,0.46,62.8,20.4
2025-09-22 20:11,ITH,Energy,85,188.72,197.31,180.13,196.32,194.72,5,friday_close,3.18,62.8,20.4
2025-09-22 20:11,KGF,Retail,80,252.17,257.23,247.1,255.94,303.86,5,friday_close,20.5,61.7,18.6
2025-09-22 20:11,FSG,Banking,80,466.41,478.84,453.99,476.45,479.91,5,friday_close,2.89,61.7,18.6
2025-09-29 20:11,CHG,Industrials,95,581.0,598.15,563.85,595.16,579.0,5,friday_close,-0.34,64.9,22.3
2025-09-29 20:11,SEIT,Energy,95,56.88,59.15,54.61,58.85,56.98,5,friday_close,0.18,64.9,22.3
2025-09-29 20:11,SEQI,FinServices,90,77.07,78.13,76.0,77.74,76.97,5,friday_close,-0.13,63.8,20.4
2025-09-29 20:11,ABF,ConsStaples,80,2026.6,2070.38,1982.81,2060.03,2100.58,5,friday_close,3.65,61.7,17.5
2025-09-29 20:11,CSN,Insurance,80,271.0,277.4,264.6,276.01,273.5,5,friday_close,0.92,61.7,17.5
2025-10-06 20:11,CHRY,FinServices,95,123.4,126.88,119.92,126.25,121.2,5,friday_close,-1.78,64.9,22.5
2025-10-06 20:11,SMIN,Industrials,85,2401.68,2444.6,2358.76,2432.38,2377.68,5,friday_close,-1.0,62.8,19.4
2025-10-06 20:11,SN,Pharma,85,1342.0,1360.81,1323.19,1354.01,1324.0,5,friday_close,-1.34,62.8,19.4
2025-10-06 20:11,CSN,Insurance,85,273.5,280.11,266.89,278.71,274.0,5,friday_close,0.18,62.8,19.4
2025-10-06 20:11,BGEO,Banking,85,7634.39,7886.1,7382.69,7846.67,7949.37,5,friday_close,4.13,62.8,19.4
2025-10-13 20:11,CWK,ConsStaples,90,4954.74,5052.41,4857.07,5027.15,5039.73,5,friday_close,1.72,63.8,23.1
2025-10-13 20:11,HMSO,FinServices,85,293.0,300.01,285.99,298.51,299.4,5,friday_close,2.18,62.8,21.4
2025-10-13 20:11,MAB,Leisure,80,249.0,257.74,240.26,256.45,245.5,5,friday_close,-1.41,61.7,19.6
2025-10-13 20:11,PHNX,Insurance,75,668.5,680.33,656.67,676.93,650.0,5,friday_close,-2.77,60.7,17.9
2025-10-13 20:11,SPX,Industrials,75,6929.49,7079.28,6779.7,7043.88,6835.0,5,friday_close,-1.36,60.7,17.9
2025-10-20 20:11,HILS,Industrials,90,2104.83,2158.6,2051.05,2147.81,2169.82,5,friday_close,3.09,63.8,21.2
2025-10-20 20:11,SN,Pharma,85,1356.0,1375.67,1336.33,1368.79,1376.5,5,friday_close,1.51,62.8,19.7
